Nome,Jogadores_Range,Melhor_em_dados,No. Jogadores,Categoria,Categoria_Display,Image,BGG,Ludopedia,Regras,BiriDeck,BiriDeck_Display,BD_Adaptação,Magana,Conta_Notas,Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Media,Emoji_Media,Subtitulo,Alex,Bia,Ênyo,Fel,Júlio,Leo,Narumi,Torselli,Nome Alt,Fabrício,Resumo_Vaza,Com Resumo,Jorge O.,Mecânicas Secundárias,Resumo_Outros,Aline,Alison,Bruno Menezes,Daniel,Diego,Fernando,Gustavo,Ju Palmares,Kennedy,Luís Francisco,Marco Portugal,Paty,Paulo,Renato,Thom Bellotto,Zanferrari,Amábili,André,Arthur,BH,Bruno Carvalho,Bruno Feitosa,Bruno Fernandes,Bruno Sia,Flávio,Ítalo,Jorge F.,Luís Tanaka,Mauro,Nan Te,Perdomo,Studart,Targino,Thom Cunha,BD_Informação,Walter,Breno Carvalho,Carla,Eurico,Fernanda,Marcelo Lee,Matias,Mauricio I.,Otávio,Pablo,Riva,BD_PlayerAid,Resumo_Climbing,Lucas,BD_PA_Img,Pagat
Red Dragon,3 - 6 jogadores,6,"3, 4, 5, 6",Vaza,📝  Vaza,https://cf.geekdo-images.com/h9hIbTXpJDnkFcuJCN5J8A__imagepage/img/dQpSBpwmEj48xBOxLMAVSenQRyY=/fit-in/900x600/filters:no_upscale():strip_icc()/pic4506920.jpg,https://boardgamegeek.com/boardgame/265105/red-dragon,https://ludopedia.com.br/jogo/red-dragon,https://drive.google.com/file/d/1cDOueYxvZuj7V_lH4GXInJhXhQ975CNd/view?usp=drive_link,,,,,2,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5909090909",👍🏻,"3 - 6 jogadores, 👍🏻 (2) - ",,,,,,,,,,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- N/A


**Distribuir Cartas:**
- Todas igualmente.


**Bid:**
- N/A


**Passar:**
- Os jogadores colocam 4/3/2/2 cartas fechadas na mesa em uma partida com 3/4/5/6 pessoas.
- Embaralha, revela e faz draft das cartas (horário -> anti-horário -> horário..) até que todas cartas sejam selecionadas.


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must Follow


**Trunfo:**
- Não


**Quem vence a vaza:**
- Carta mais alta do naipe inicial.


**Desempate:**
- N/A


**Quem torna:**
- Quem venceu a vaza.


**Quem começa a próxima rodada:**
- O jogador à esquerda do último jogador inicial (Não explícito nas regras).


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Cada vaza vencida vale 6/8/10/12 pontos em uma partida de 3/4/5/6 jogadores.
- Cada carta vermelha capturada em vazas vencidas vale pontos negativos de acordo com o número mostrado na bola de cristal (ponto = número da carta, exceto o 11 que vale 26 pontos).
- Se um jogador vencer todas as vazas de uma rodada, ela vencerá o jogo instantaneamente, independente das pontuações de outras rodadas.
- Pontos por 0 vazas:
    - 20 pontos caso seja o único jogador que fez 0.
    - 10/10/15 pontos caso 2 jogadores façam 0 em uma partida de 4/5/6 jogadores.
    - 5/10 pontos caso 3 jogadores façam 0 em uma partida com 5/6 jogadores.
    - 5 pontos caso 4 jogadores façam 0 em uma partida com 6 jogadores.


**Fim de Jogo:**
- Rodadas = número de jogadores.


**Quem vence o jogo:**
- Quem tiver mais pontos.


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- N/A
",📝,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Red Labyrinth,3 - 5 jogadores,,"3, 4, 5",Climbing,  Climbing,https://cf.geekdo-images.com/vEG6tCoOHZBRj5MsWxQrnA__imagepage/img/vMVbcAPxnXbiAyiICn9wSPNdRno=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7935268.jpg,https://boardgamegeek.com/boardgame/410159/red-labyrinth,https://ludopedia.com.br/jogo/red-labyrinth,,,,,,4,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5",👍🏻,"3 - 5 jogadores, 👍🏻 (4) - ",,3,,,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Secret,2 - 4 jogadores,4,"2, 3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/8HItq68LnQGNwJ9Zs9ackQ__imagepage/img/a-zncQdigae0vCG6vmoriU1rrjw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7949148.jpg,https://boardgamegeek.com/boardgame/410336/mi-mi-nochi-red-secret,https://ludopedia.com.br/jogo/red-secret,,,,,,4,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,75",⭐,"2 - 4 jogadores, ⭐ (4) - ",3,4,,,3,,3,,秘密の赤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reign of Dragoness,2 - 8 jogadores,4,"2, 3, 4, 5, 6, 7, 8",Climbing,  Climbing,https://cf.geekdo-images.com/4E3UpxBegMScOWhy2YBoFQ__imagepage/img/NlLlr0wu2ANTH5xm-Y_joyngaA0=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6969894.jpg,https://boardgamegeek.com/boardgame/366166/reign-dragoness,https://ludopedia.com.br/jogo/reign-of-dragoness,https://drive.google.com/file/d/1PrC-IglQSrUrDm9nVYuapR6VAzq5NYIV/view?usp=drive_link,,,,2,4,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,3333333333",👍🏻,"2 - 8 jogadores, 👍🏻 (4) - ",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Reis de Portugal,2 - 4 jogadores,4,"2, 3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/VTObPLrc3H9w4QzIN5h-nA__imagepage/img/e-3H_kcXJELBtY5AKA85K-CTLGw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2207429.png,https://boardgamegeek.com/boardgame/164091/reis-de-portugal,https://ludopedia.com.br/jogo/reis-de-portugal,https://drive.google.com/file/d/1BjxpKOVxhBUsuTn2ue7FtjWsnT276KPg/view?usp=drive_link,,,,3,4,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,25",👍🏻,"2 - 4 jogadores, 👍🏻 (4) - ",,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relationship Tightrope,3 - 5 jogadores,3,"3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/FUyJ12REPB7P0lYrJo50lA__imagepage/img/qspAZUGfEklSrA8gdZhnLTBEhoU=/fit-in/900x600/filters:no_upscale():strip_icc()/pic48609.jpg,https://boardgamegeek.com/boardgame/368/relationship-tightrope,https://ludopedia.com.br/jogo/relationship-tightrope,,,,,1,7,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,1785714286",👍🏻,"3 - 5 jogadores, 👍🏻 (7) - ",,,,1,2,,2,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Rewind,3 - 4 jogadores,,"3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/IhHZnxg08Zn-jEIZq2ahHw__imagepage/img/mt7uWbEfqxXfjGAwJdR92Zo46uM=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8025774.png,https://boardgamegeek.com/boardgame/414318/rewind,https://ludopedia.com.br/jogo/rewind,,,,,2,6,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5769230769",👍🏻,"3 - 4 jogadores, 👍🏻 (6) - ",,,,,4,,,2,,3,,,4,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhino Millionaire,3 - 5 jogadores,5,"3, 4, 5",Climbing,📝  Climbing,https://cf.geekdo-images.com/Vri7xwdFrcHpoxAytHjN9g__imagepage/img/fOBncSVvB5q4-yRXyIeaexXr950=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6298166.jpg,https://boardgamegeek.com/boardgame/342950/rhino-millionaire,https://ludopedia.com.br/jogo/rhino-millionaire,https://drive.google.com/file/d/1WEsiQMRHAr8-_bF-dk8dAwRaXMDqIm4Z/view?usp=drive_link,,,,3,11,,,,,,"2,5","2,5","2,5","2,5","2,5","2,78125",⭐,"3 - 5 jogadores, ⭐ (11) - ",4,,,3,3,,,3,,,,📝,2,,,,4,,,,,2,,,,,,,,,2,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- N/A


**Distribuir Cartas:**
- 15 / 13 / 11 cartas para 3 / 4 / 5 jogadores


**Informações Adicionais:**
- Embaralhar as cartas de personagem e distribuir:
    - 3 jogadores: Rhino + 2 Hienas. O jogador com Rhino também pega a carta de assistente.
    - 4 jogadores: Rhino + Assistente + 2 Hienas
    - 5 jogadores: Rhino + Assistente + 3 Hienas
- O jogador com Rhino se revela, os jogadores ao lado dele devem passar a carta de valor mais alto para ele, e ele deve devolver qualquer carta que escolher.
- Quem tiver a carta do Rhino inicia jogando ela.

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Jogos Permitidos:**
- Carta única (single)
- Conjuntos de mesmo número (2 a 4 cartas)
- Sequencia do mesmo naipe (3 a 4 cartas)


**Segue o Jogo?:**
- Sim


**Passar:**
- Temporário


**Quando encerra a escalada:**
- Quando todos, menos um, passam em sequência


**Quem torna:**
- Quem venceu a escalada


**Fim da Rodada:**
- Quando uma pessoa não tiver mais cartas na mão (incluindo as
de personagem). Se o Rhino vencer, continua jogando até uma segunda pessoa não ter mais cartas na mão.


**Quem começa a próxima rodada:**
- Quem sair com o Rhino


**Informações Adicionais:**
- Quando alguém abre uma escalada com um conjunto de 4 cartas de mesmo número, a hierarquia dos números é invertida (Revolução).
- Cartas especiais:
    - 8 - jogado sozinho ou em conjuntos, encerra a escalada 
imediatamente. Se for em sequência, não encerra.
    - 8 cinza - funciona como o 8 de qualquer naipe, porém se ativar a habilidade de 8, quem jogou escolhe outra pessoa para iniciar a próxima escalada.
    - 2-7 cinza - carta de qualquer naipe com valor entre 2 e 7
Personagens:
    - Rhino: carta vale 1 e é usada para abrir a primeira escalada da rodada.
    - Assistente: Pode ser jogada independente do número de cartas na mesa. Transfere o lead para o Rhino e muda o tipo de jogo para cartas únicas.
    - Hiena: vale como uma carta 2 a 13 e descarta 2 cartas da mão quando usar.
    - Leopardo: vale como uma carta de 1 **ou** 16.
    - Gazela: vale como duas cartas de valor 15.
    - Babuíno: vale como duas cartas de 2 a 13 e passa uma carta da sua mão para outro jogador quando usar.

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Rhino primeiro + Alguma Hiena em segundo: 1 Rhino | 1 Assistente | 0 Hienas
- Se Rhino primeiro + Assistente segundo: 2 Rhino | 2 Assistente | 0 Hienas.
- Assistente primeiro: 0 Rhino | 0 Assistente | 2 Hienas.
- Hiena vence - 0 Rhino | 0 Assistente | 2 para a hiena que bateu, 1 para as demais hienas.


**Fim de Jogo:**
- Algum jogador fizer 3 ou mais pontos (5 para jogo mais longo)


**Quem vence o jogo:**
- Quem tiver mais pontos


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- N/A
",,,
Ride Chip Trick,3 - 4 jogadores,,"3, 4",Vaza,  Vaza,https://storage.googleapis.com/ludopedia-imagens-jogo/7b1a6_237243_m.jpg,https://boardgamegeek.com/boardgame/369245/ride-chip-trick,https://ludopedia.com.br/jogo/ride-chip-trick,,,,,3,3,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,7916666667",⭐,"3 - 4 jogadores, ⭐ (3) - ",,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Riichi Mahjong,3 - 4 jogadores,4,"3, 4",Rummy,  Rummy,https://cf.geekdo-images.com/62j0mEWiwuyZixScOzwEnA__imagepage/img/zoWOyirSdY2Zew5Y0lQBOkqy7UQ=/fit-in/900x600/filters:no_upscale():strip_icc()/pic4667546.jpg,https://boardgamegeek.com/boardgame/108018/riichi-mahjong,https://ludopedia.com.br/jogo/riichi-mahjong,,,,,5,21,,,,,,,,,,,"4,0952380952",⭐⭐,"3 - 4 jogadores, ⭐⭐ (21) - ",4,5,4,5,,,5,2,,,,,,,,5,2,4,,,,5,,,5,3,,,,2,1,5,,,,,5,,5,,,,,5,5,,,,5,,,,5,,,,,5,,2,5,,,,,
Rikka,2 - 5 jogadores,,"2, 3, 4, 5",Rummy,  Rummy,https://cf.geekdo-images.com/0EaRm9Oa2waIv-1ObwS6gQ__imagepage/img/tKfFU3Ave1I6U5Siq3lawzqRfaA=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7977509.jpg,https://boardgamegeek.com/boardgame/410338/liu-hua-rikka,https://ludopedia.com.br/jogo/rikka,https://drive.google.com/file/d/1g7de0Lw9j_m0m6vsuzXL3dXyc3WBzZHU/view?usp=drive_link,,,,3,19,,,,,,,,,,"2,5","3,375",⭐,"2 - 5 jogadores, ⭐ (19) - ",3,5,3,3,3,,4,2,,3,,,,,,,2,5,,,,4,4,,,3,,,,,,4,,2,,,,,,2,,,,4,3,,,3,,,,5,,,,,,,,,4,,,,,
Ritus,2 - 4 jogadores,,"2, 3, 4",Shedding,  Shedding,https://cf.geekdo-images.com/R1OT-eFIYLvqFtMHmW5fzw__imagepage/img/4pUevEfp_sSvKCLXsmKGs-_8KK4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8246809.jpg,https://boardgamegeek.com/boardgame/421663/ritus,https://ludopedia.com.br/jogo/ritus,,,,,1,3,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,2916666667",👍🏻,"2 - 4 jogadores, 👍🏻 (3) - ",,,,,,,,,,,,,,Seleção Simultânea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Road to Lord,2 - 4 jogadores,,"2, 3, 4",Vaza,📝  Vaza,https://cf.geekdo-images.com/bvF2gR2yVAdTI12ZQUmsSQ__imagepage/img/YulhPEe2NGgFGw0wumISDMMmKXk=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7622318.jpg,https://boardgamegeek.com/boardgame/392397/road-lord,https://ludopedia.com.br/jogo/road-to-lord,https://drive.google.com/file/d/1Z6jfByj6Ly7Db8QNvS9BhI9wY-e4v2GG/view?usp=drive_link,,,,4,8,,,,,"2,5","2,5","2,5","2,5","2,5","2,5","3,0714285714",⭐,"2 - 4 jogadores, ⭐ (8) - ",,,,4,,,,,,3,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- De acordo com o número de jogadores (indicado nas cartas)


**Distribuir Cartas:**
- 15 / jogador. As 8 restantes ficam abertas em faixa sobre a mesa.


**Bid:**
- N/A


**Passar:**
- N/A


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must Follow


**Trunfo:**
- Sim, a primeira carta da faixa da mesa.


**Quem vence a vaza:**
- Quem jogar o número mais alto de trunfo. Se ninguém jogar trunfo, o número mais alto do naipe do inicial.


**Desempate:**
- Quem jogou primeiro.


**Quem torna:**
- Quem venceu a vaza.


**Quem começa a próxima rodada:**
- O jogador à esquerda do último jogador incial.


**Informações Adicionais:**
- Os jogadores montam números utilizando 'n' cartas do mesmo naipe, em ordem crescente.
- Somente o primeiro jogador pode usar ""00"". Todos os jogadores, exceto o último, podem usar ""0"". ""00"" e ""0"" devem estar no final do número.
- São jogadas 8 vazas por rodada.

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Cada vaza é pontuada dependendo do número de cartas jogado pelo vencedor:
    - 1/2 cartas: 3 pontos
    - 3/4 cartas: 4 pontos
    - 5+ cartas: 5 pontos
- Além disso, os jogadores perdem:
    - 2 pontos por cada vaza que não participarem
    - 1 ponto por cada carta que restar na mão no final da rodada.


**Fim de Jogo:**
- Número de rodadas = número de jogadores.


**Quem vence o jogo:**
- Quem tiver mais pontos.


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- Pode-se jogar uma única rodada também.
- Regra para 2 jogadores: Ver Manual.
",📝,,,,,2,,3,,,,,,5,,,3,,,,,,2,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,
Robotrick,3 jogadores,3,3,Vaza,  Vaza,https://cf.geekdo-images.com/8O1vZvD5Dd83ejNDVsv2Iw__imagepage/img/Y1saqOcnhJz0YkUVAqWdViQkbJ0=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7738861.jpg,https://boardgamegeek.com/boardgame/374866/robotrick,https://ludopedia.com.br/jogo/robotrick,https://drive.google.com/file/d/1XtR000vRdE3m3qBzgUjk0X_e-HmUATcz/view?usp=drive_link,"{CB}
- {Az} {Pt} {Lj} {Vd} : **[1-13]**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;"">
 <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> : **[1-13]**",✅✅✅,4,35,,,,,,,,,,,"4,3142857143",⭐⭐⭐,"3 jogadores, ⭐⭐⭐ (35) - ✅✅✅",5,4,5,5,3,,3,4,,4,,,5,,,5,3,4,4,4,4,3,,,,4,5,,,4,4,4,5,5,5,5,5,,,4,,5,4,4,4,,,4,5,"#### Informações Adicionais
- Cartas de robô impressas ou no celular",5,5,5,,4,,4,,,5,4,,,,,
Rocket Punch,3 - 5 jogadores,,"3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/MqIs-IHF1vvqoh98AodmSQ__imagepage/img/SAwFbXqHaayOXFjZQKweZTd0WOk=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8197293.jpg,https://boardgamegeek.com/boardgame/420930/rocket-punch,https://ludopedia.com.br/jogo/rocket-punch,https://drive.google.com/file/d/1q-AQxe6QMqjKdBePE4Jj8b53YdcVLoSn/view?usp=drive_link,,,,,6,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,0384615385",👍🏻,"3 - 5 jogadores, 👍🏻 (6) - ",,,,1,2,,,1,,2,,,,,,,,,2,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romi Rami,2 - 4 jogadores,"2, 3","2, 3, 4",Rummy,  Rummy,https://cf.geekdo-images.com/81pJ0wM17PaMTj7shMtuXQ__imagepage/img/U1Hu5idaYe1Rze-ZZDRy59MVB8s=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7468800.png,https://boardgamegeek.com/boardgame/383790/romi-rami,https://ludopedia.com.br/jogo/romi-rami,https://drive.google.com/file/d/1NPCo9ALBzZT53WmjDDHyCpw8P_oXk0Vj/view?usp=drive_link,,,,3,13,,,,,,,"2,5","2,5","2,5","2,5","2,8823529412",⭐,"2 - 4 jogadores, ⭐ (13) - ",,,2,3,,,,2,,3,,,,,,4,3,,,,,4,,,3,3,,,,,,3,,,,,3,,,4,,,,3,,,,,2,,,,,,,,,,,,,,,,,
Rook,2 - 6 jogadores,4,"2, 3, 4, 5, 6",Vaza,  Vaza,https://cf.geekdo-images.com/lKJgntNaJAa8A7QStjRvzA__imagepage/img/biP5X_lzVCJqIG6JlsReNjrA1N4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic394433.jpg,https://boardgamegeek.com/boardgame/1260/rook,https://ludopedia.com.br/jogo/rook,https://drive.google.com/file/d/1nbL4hBJX8_CJ0OONZEfCUKNWw4AAHAqx/view?usp=drive_link,"{CB}
- {Az} {Pt} {Lj} {Vd} : **[1-14]**
- **[X]** --> Rook","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;"">
 <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> : **[1-14]**
- **[X]** --> Rook",✅✅✅,3,8,,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,1428571429",👍🏻,"2 - 6 jogadores, 👍🏻 (8) - ✅✅✅",,,2,2,,,,,,,,,,,,,1,,,,,2,,,,4,,,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Roulette-Taking Game,2 - 4 jogadores,"3, 4","2, 3, 4",Vaza,📝  Vaza,https://cf.geekdo-images.com/EN53cEMarT5U9ydrfHiAhQ__imagepage/img/LFPpH5wgcvgs51XMbjo8aeZRC1E=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6859339.jpg,https://boardgamegeek.com/boardgame/362830/roulette-taking-game,https://ludopedia.com.br/jogo/roulette-taking-game,https://drive.google.com/file/d/1YKKNMbGywzNYkDx90CYA_0NT4K6xaam1/view?usp=drive_link,,,,3,11,,,,,,"2,5","2,5","2,5","2,5","2,5","2,78125",⭐,"2 - 4 jogadores, ⭐ (11) - ",3,,,4,4,,3,2,,4,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- N/A


**Distribuir Cartas:**
- 10/9 cartas para 2-3/4 jogadores.


**Bid:**
- N/A


**Passar:**
- N/A


**Informações Adicionais:**
- Embaralhar as cartas sem a No More Bets. Colocá-la no topo antes de distribuir (ela ficará com o primeiro jogador).
- Entregar uma cor de ficha de jogador e  $15 para o primeiro jogador e $10 para os demais.
- Revelar as cartas que sobraram e colocar uma ficha preta sobre elas.

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must Follow, exceto trunfos.


**Trunfo:**
- Palhaços, Grim Reapers, 0 e 00


**Quem vence a vaza:**
- Maior cor do naipe ou maior trunfo. 0 > 00.


**Desempate:**
- N/A


**Quem torna:**
- Quem venceu a última vaza.


**Quem começa a próxima rodada:**
- Jogador a esquerda de quem iniciou a anterior


**Informações Adicionais:**
- Após a vaza, os números das cartas que saíram recebem uma ficha preta.
O jogador que vencer a vaza, se não  for o dealer, pode fazer uma aposta

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- 


**Fim de Jogo:**
- 


**Quem vence o jogo:**
- 


**Desempate:**
- 

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- 
",📝,,,,,2,,,,,2,,,,4,,,,,1,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Rummikub,2 - 4 jogadores,4,"2, 3, 4",Rummy,  Rummy,https://cf.geekdo-images.com/LeaLDlTTmeN639MfuflcMw__imagepage/img/nm9BnHZQxVMeixgeb1cdhLEx_eo=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2286966.jpg,https://boardgamegeek.com/boardgame/811/rummikub,https://ludopedia.com.br/jogo/rummikub,https://drive.google.com/file/d/17-gudbl3su0QtBqkSeWC94jXf9dGAWzV/view?usp=drive_link,"{CB}
- {Az} {Pt} {Lj} {Am}  : **[1-13]** x 2 conjuntos
- [X] x 2--> curingas","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;"">
 <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;"">  : **[1-13]** x 2 conjuntos
- [X] x 2--> curingas",2️⃣ ✅✅✅,4,38,,,,,,,,,,,"3,6578947368",⭐⭐,"2 - 4 jogadores, ⭐⭐ (38) - 2️⃣ ✅✅✅",3,5,4,5,2,4,3,4,,3,,,3,,,4,4,,2,5,3,4,5,3,4,3,,,4,4,3,3,,3,1,3,3,4,5,4,3,,4,5,2,,,5,5,"#### Informações Adicionais
- Necessita 2 BiriDecks",3,,4,,3,,,,,3,4,,,,,
"Run, Cowboy, Run!",2 - 6 jogadores,"3, 4, 5, 6","2, 3, 4, 5, 6",Climbing,  Climbing,https://cf.geekdo-images.com/Vn4fQVT5YMiqaq2DUZy0Ow__imagepage/img/zNEoKe1JpwU3SBiK_x4tVCCew2A=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6207115.jpg,https://boardgamegeek.com/boardgame/339930/run-cowboy-run,https://ludopedia.com.br/jogo/run-cowboy-run,,,,,2,9,,,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,3333333333",👍🏻,"2 - 6 jogadores, 👍🏻 (9) - ",,,,1,,,,1,,,,,,,,,2,,,,,3,,,,,,,,,3,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,
Sail,2 jogadores,2,2,Vaza,  Vaza,https://cf.geekdo-images.com/WdYRHQ_ILHTV_ECMGF27Gw__imagepage/img/-4lFDCi6hagQulxr1emYP6_wXbQ=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7267575.jpg,https://boardgamegeek.com/boardgame/377470/sail,https://ludopedia.com.br/jogo/sail,https://drive.google.com/file/d/1T3KB7OJXbql-bHUwoQjNf9QVuDx4T8pW/view?usp=drive_link,,,,5,20,,,,,,,,,,,"3,85",⭐⭐,"2 jogadores, ⭐⭐ (20) - ",,,3,2,,,4,3,Hameln Cave,4,,,4,,,4,4,,,5,5,5,,,,3,,5,,2,4,,,3,,3,3,,,,,4,4,,2,,,,4,,5,4,5,,,,,,,5,,,,,,
